PS1,PS2,PS3,PS4,PS5,PS6,EPS1,FS1,FS2,TS1,TS2,TS3,TS4,VS1,CP,CE,SE
1.92,1.48,2.02,0.73,1.36,0.5,11.39,,,,,,,,,,
1.93,1.47,2.01,0.72,1.35,0.5,11.27,,,,,,,,,,
1.93,1.46,2.01,0.71,1.34,0.5,11.15,2.43,2.86,,,,,,,,
1.94,1.45,2.0,0.7,1.33,0.5,11.03,,,,,,,,,,
1.94,1.44,2.0,0.7,1.32,0.5,10.92,,,,,,,,,,
1.94,1.43,1.99,0.69,1.31,0.5,10.8,,,,,,,,,,
1.95,1.42,1.98,0.68,1.3,0.5,10.68,,,,,,,,,,
1.95,1.42,1.98,0.67,1.29,0.51,10.56,,,,,,,,,,
1.95,1.41,1.97,0.66,1.28,0.51,10.44,,,,,,,,,,
1.96,1.4,1.97,0.66,1.27,0.51,10.32,,,,,,,,,,
1.96,1.39,1.96,0.65,1.26,0.51,10.19,,,,,,,,,,
1.96,1.38,1.95,0.64,1.25,0.51,10.07,,,,,,,,,,
1.96,1.37,1.95,0.63,1.24,0.51,9.95,2.46,2.77,,,,,,,,
1.97,1.36,1.94,0.63,1.23,0.51,9.83,,,,,,,,,,
1.97,1.35,1.93,0.62,1.22,0.52,9.7,,,,,,,,,,
1.97,1.34,1.93,0.61,1.21,0.52,9.58,,,,,,,,,,
1.97,1.33,1.92,0.6,1.2,0.52,9.45,,,,,,,,,,
1.98,1.32,1.91,0.6,1.19,0.52,9.33,,,,,,,,,,
1.98,1.31,1.9,0.59,1.18,0.52,9.2,,,,,,,,,,
1.98,1.3,1.9,0.58,1.17,0.53,9.08,,,,,,,,,,
1.98,1.29,1.89,0.58,1.16,0.53,8.95,,,,,,,,,,
1.98,1.28,1.88,0.57,1.15,0.53,8.83,,,,,,,,,,
1.99,1.27,1.88,0.56,1.14,0.53,8.7,2.49,2.67,,,,,,,,
1.99,1.26,1.87,0.56,1.13,0.54,8.57,,,,,,,,,,
1.99,1.25,1.86,0.55,1.13,0.54,8.45,,,,,,,,,,
1.99,1.24,1.85,0.54,1.12,0.54,8.32,,,,,,,,,,
1.99,1.23,1.85,0.54,1.11,0.54,8.19,,,,,,,,,,
1.99,1.22,1.84,0.53,1.1,0.55,8.06,,,,,,,,,,
1.99,1.21,1.83,0.52,1.09,0.55,7.93,,,,,,,,,,
1.99,1.2,1.82,0.52,1.08,0.55,7.81,,,,,,,,,,
2.0,1.19,1.81,0.51,1.07,0.56,7.68,,,,,,,,,,
2.0,1.18,1.81,0.5,1.06,0.56,7.55,,,,,,,,,,
2.0,1.17,1.8,0.5,1.05,0.56,7.42,2.5,2.57,,,,,,,,
2.0,1.16,1.79,0.49,1.04,0.57,7.29,,,,,,,,,,
2.0,1.15,1.78,0.49,1.03,0.57,7.16,,,,,,,,,,
2.0,1.14,1.77,0.48,1.02,0.57,7.03,,,,,,,,,,
2.0,1.13,1.77,0.48,1.01,0.58,6.9,,,,,,,,,,
2.0,1.12,1.76,0.47,1.0,0.58,6.77,,,,,,,,,,
2.0,1.11,1.75,0.46,0.99,0.59,6.64,,,,,,,,,,
2.0,1.1,1.74,0.46,0.98,0.59,6.51,,,,,,,,,,
2.0,1.09,1.73,0.45,0.98,0.59,6.38,,,,,,,,,,
2.0,1.08,1.72,0.45,0.97,0.6,6.25,,,,,,,,,,
2.0,1.07,1.72,0.44,0.96,0.6,6.12,2.5,2.47,,,,,,,,
2.0,1.06,1.71,0.44,0.95,0.61,5.99,,,,,,,,,,
2.0,1.05,1.7,0.43,0.94,0.61,5.86,,,,,,,,,,
2.0,1.04,1.69,0.43,0.93,0.62,5.73,,,,,,,,,,
2.0,1.03,1.68,0.42,0.92,0.62,5.6,,,,,,,,,,
2.0,1.02,1.67,0.42,0.91,0.63,5.47,,,,,,,,,,
2.0,1.01,1.66,0.41,0.9,0.63,5.34,,,,,,,,,,
2.0,1.0,1.65,0.41,0.9,0.64,5.21,,,,,,,,,,
1.99,0.99,1.65,0.4,0.89,0.64,5.08,,,,,,,,,,
1.99,0.98,1.64,0.4,0.88,0.65,4.95,,,,,,,,,,
1.99,0.97,1.63,0.4,0.87,0.65,4.82,2.49,2.37,,,,,,,,
1.99,0.96,1.62,0.39,0.86,0.66,4.69,,,,,,,,,,
1.99,0.95,1.61,0.39,0.85,0.66,4.56,,,,,,,,,,
1.99,0.94,1.6,0.38,0.84,0.67,4.43,,,,,,,,,,
1.99,0.93,1.59,0.38,0.84,0.67,4.31,,,,,,,,,,
1.98,0.92,1.58,0.38,0.83,0.68,4.18,,,,,,,,,,
1.98,0.91,1.57,0.37,0.82,0.69,4.05,,,,,,,,,,
1.98,0.9,1.56,0.37,0.81,0.69,3.92,,,,,,,,,,
1.98,0.89,1.55,0.36,0.8,0.7,3.79,,,,,,,,,,
1.98,0.88,1.54,0.36,0.8,0.7,3.67,,,,,,,,,,
1.97,0.87,1.53,0.36,0.79,0.71,3.54,2.47,2.27,,,,,,,,
1.97,0.86,1.53,0.35,0.78,0.72,3.41,,,,,,,,,,
1.97,0.85,1.52,0.35,0.77,0.72,3.29,,,,,,,,,,
1.97,0.84,1.51,0.35,0.76,0.73,3.16,,,,,,,,,,
1.96,0.83,1.5,0.35,0.76,0.73,3.03,,,,,,,,,,
1.96,0.82,1.49,0.34,0.75,0.74,2.91,,,,,,,,,,
1.96,0.81,1.48,0.34,0.74,0.75,2.78,,,,,,,,,,
1.96,0.81,1.47,0.34,0.73,0.75,2.66,,,,,,,,,,
1.95,0.8,1.46,0.33,0.73,0.76,2.53,,,,,,,,,,
1.95,0.79,1.45,0.33,0.72,0.77,2.41,,,,,,,,,,
1.95,0.78,1.44,0.33,0.71,0.77,2.29,2.45,2.18,,,,,,,,
1.94,0.77,1.43,0.33,0.71,0.78,2.16,,,,,,,,,,
1.94,0.76,1.42,0.32,0.7,0.79,2.04,,,,,,,,,,
1.94,0.75,1.41,0.32,0.69,0.8,1.92,,,,,,,,,,
1.93,0.74,1.4,0.32,0.68,0.8,1.8,,,,,,,,,,
1.93,0.73,1.39,0.32,0.68,0.81,1.68,,,,,,,,,,
1.93,0.72,1.38,0.32,0.67,0.82,1.56,,,,,,,,,,
1.92,0.71,1.37,0.31,0.66,0.82,1.44,,,,,,,,,,
1.92,0.7,1.36,0.31,0.66,0.83,1.32,,,,,,,,,,
1.91,0.69,1.35,0.31,0.65,0.84,1.2,,,,,,,,,,
1.91,0.68,1.34,0.31,0.64,0.85,1.08,2.41,2.08,25.91,25.08,26.14,25.51,1.09,5.45,82.92,92.39
1.91,0.67,1.33,0.31,0.64,0.85,0.97,,,,,,,,,,
1.9,0.67,1.32,0.31,0.63,0.86,0.85,,,,,,,,,,
1.9,0.66,1.31,0.31,0.62,0.87,0.73,,,,,,,,,,
1.89,0.65,1.3,0.31,0.62,0.88,0.62,,,,,,,,,,
1.89,0.64,1.29,0.3,0.61,0.88,0.5,,,,,,,,,,
1.88,0.63,1.28,0.3,0.61,0.89,0.39,,,,,,,,,,
1.88,0.62,1.27,0.3,0.6,0.9,0.27,,,,,,,,,,
1.87,0.61,1.26,0.3,0.59,0.91,0.16,,,,,,,,,,
1.87,0.6,1.25,0.3,0.59,0.92,0.05,,,,,,,,,,
1.86,0.6,1.24,0.3,0.58,0.93,-0.06,2.36,2.0,,,,,,,,
1.86,0.59,1.23,0.3,0.58,0.93,-0.17,,,,,,,,,,
1.85,0.58,1.22,0.3,0.57,0.94,-0.28,,,,,,,,,,
1.85,0.57,1.21,0.3,0.56,0.95,-0.39,,,,,,,,,,
1.84,0.56,1.2,0.3,0.56,0.96,-0.5,,,,,,,,,,
1.84,0.55,1.19,0.3,0.55,0.97,-0.61,,,,,,,,,,
1.83,0.54,1.18,0.3,0.55,0.98,-0.71,,,,,,,,,,
1.83,0.54,1.17,0.3,0.54,0.98,-0.82,,,,,,,,,,
1.82,0.53,1.16,0.3,0.54,0.99,-0.93,,,,,,,,,,
1.81,0.52,1.15,0.3,0.53,1.0,-1.03,,,,,,,,,,
1.81,0.51,1.14,0.3,0.53,1.01,-1.13,2.31,1.91,,,,,,,,
1.8,0.5,1.13,0.3,0.52,1.02,-1.24,,,,,,,,,,
1.8,0.5,1.12,0.3,0.52,1.03,-1.34,,,,,,,,,,
1.79,0.49,1.11,0.3,0.51,1.04,-1.44,,,,,,,,,,
1.78,0.48,1.1,0.3,0.51,1.04,-1.54,,,,,,,,,,
1.78,0.47,1.09,0.31,0.51,1.05,-1.64,,,,,,,,,,
1.77,0.46,1.08,0.31,0.5,1.06,-1.74,,,,,,,,,,
1.77,0.46,1.07,0.31,0.5,1.07,-1.83,,,,,,,,,,
1.76,0.45,1.06,0.31,0.49,1.08,-1.93,,,,,,,,,,
1.75,0.44,1.05,0.31,0.49,1.09,-2.02,,,,,,,,,,
1.75,0.43,1.04,0.31,0.48,1.1,-2.12,2.25,1.83,,,,,,,,
1.74,0.43,1.03,0.31,0.48,1.11,-2.21,,,,,,,,,,
1.73,0.42,1.02,0.32,0.48,1.12,-2.31,,,,,,,,,,
1.73,0.41,1.01,0.32,0.47,1.13,-2.4,,,,,,,,,,
1.72,0.4,1.0,0.32,0.47,1.14,-2.49,,,,,,,,,,
1.71,0.4,0.99,0.32,0.46,1.15,-2.58,,,,,,,,,,
1.7,0.39,0.98,0.32,0.46,1.15,-2.67,,,,,,,,,,
1.7,0.38,0.97,0.33,0.46,1.16,-2.75,,,,,,,,,,
1.69,0.38,0.96,0.33,0.45,1.17,-2.84,,,,,,,,,,
1.68,0.37,0.95,0.33,0.45,1.18,-2.92,,,,,,,,,,
1.68,0.36,0.94,0.33,0.45,1.19,-3.01,2.18,1.76,,,,,,,,
1.67,0.36,0.93,0.34,0.45,1.2,-3.09,,,,,,,,,,
1.66,0.35,0.93,0.34,0.44,1.21,-3.17,,,,,,,,,,
1.65,0.34,0.92,0.34,0.44,1.22,-3.26,,,,,,,,,,
1.65,0.34,0.91,0.34,0.44,1.23,-3.34,,,,,,,,,,
1.64,0.33,0.9,0.35,0.43,1.24,-3.42,,,,,,,,,,
1.63,0.32,0.89,0.35,0.43,1.25,-3.49,,,,,,,,,,
1.62,0.32,0.88,0.35,0.43,1.26,-3.57,,,,,,,,,,
1.61,0.31,0.87,0.36,0.43,1.27,-3.65,,,,,,,,,,
1.61,0.3,0.86,0.36,0.42,1.28,-3.72,,,,,,,,,,
1.6,0.3,0.85,0.36,0.42,1.29,-3.79,2.1,1.7,,,,,,,,
1.59,0.29,0.84,0.37,0.42,1.3,-3.87,,,,,,,,,,
1.58,0.29,0.83,0.37,0.42,1.31,-3.94,,,,,,,,,,
1.57,0.28,0.82,0.37,0.42,1.32,-4.01,,,,,,,,,,
1.57,0.28,0.81,0.38,0.41,1.33,-4.08,,,,,,,,,,
1.56,0.27,0.8,0.38,0.41,1.34,-4.14,,,,,,,,,,
1.55,0.26,0.79,0.39,0.41,1.35,-4.21,,,,,,,,,,
1.54,0.26,0.78,0.39,0.41,1.36,-4.28,,,,,,,,,,
1.53,0.25,0.78,0.39,0.41,1.37,-4.34,,,,,,,,,,
1.52,0.25,0.77,0.4,0.41,1.38,-4.4,,,,,,,,,,
1.52,0.24,0.76,0.4,0.41,1.39,-4.47,2.02,1.64,,,,,,,,
1.51,0.24,0.75,0.41,0.41,1.4,-4.53,,,,,,,,,,
1.5,0.23,0.74,0.41,0.4,1.41,-4.59,,,,,,,,,,
1.49,0.23,0.73,0.42,0.4,1.42,-4.65,,,,,,,,,,
1.48,0.22,0.72,0.42,0.4,1.43,-4.7,,,,,,,,,,
1.47,0.22,0.71,0.43,0.4,1.44,-4.76,,,,,,,,,,
1.46,0.21,0.7,0.43,0.4,1.45,-4.81,,,,,,,,,,
1.45,0.21,0.7,0.44,0.4,1.46,-4.87,,,,,,,,,,
1.45,0.2,0.69,0.44,0.4,1.47,-4.92,,,,,,,,,,
1.44,0.2,0.68,0.45,0.4,1.48,-4.97,,,,,,,,,,
1.43,0.2,0.67,0.45,0.4,1.49,-5.02,1.93,1.6,,,,,,,,
1.42,0.19,0.66,0.46,0.4,1.5,-5.07,,,,,,,,,,
1.41,0.19,0.65,0.46,0.4,1.51,-5.12,,,,,,,,,,
1.4,0.18,0.64,0.47,0.4,1.52,-5.16,,,,,,,,,,
1.39,0.18,0.64,0.47,0.4,1.53,-5.21,,,,,,,,,,
1.38,0.18,0.63,0.48,0.4,1.54,-5.25,,,,,,,,,,
1.37,0.17,0.62,0.49,0.4,1.55,-5.3,,,,,,,,,,
1.36,0.17,0.61,0.49,0.4,1.56,-5.34,,,,,,,,,,
1.35,0.16,0.6,0.5,0.4,1.57,-5.38,,,,,,,,,,
1.34,0.16,0.6,0.5,0.4,1.58,-5.42,,,,,,,,,,
1.33,0.16,0.59,0.51,0.4,1.59,-5.45,1.83,1.56,,,,,,,,
1.33,0.15,0.58,0.52,0.4,1.6,-5.49,,,,,,,,,,
1.32,0.15,0.57,0.52,0.41,1.61,-5.53,,,,,,,,,,
1.31,0.15,0.56,0.53,0.41,1.62,-5.56,,,,,,,,,,
1.3,0.15,0.56,0.53,0.41,1.63,-5.59,,,,,,,,,,
1.29,0.14,0.55,0.54,0.41,1.64,-5.63,,,,,,,,,,
1.28,0.14,0.54,0.55,0.41,1.65,-5.66,,,,,,,,,,
1.27,0.14,0.53,0.55,0.41,1.66,-5.68,,,,,,,,,,
1.26,0.13,0.53,0.56,0.41,1.67,-5.71,,,,,,,,,,
1.25,0.13,0.52,0.57,0.42,1.68,-5.74,,,,,,,,,,
1.24,0.13,0.51,0.57,0.42,1.69,-5.76,1.74,1.53,,,,,,,,
1.23,0.13,0.51,0.58,0.42,1.7,-5.79,,,,,,,,,,
1.22,0.12,0.5,0.59,0.42,1.71,-5.81,,,,,,,,,,
1.21,0.12,0.49,0.6,0.42,1.72,-5.83,,,,,,,,,,
1.2,0.12,0.48,0.6,0.43,1.73,-5.85,,,,,,,,,,
1.19,0.12,0.48,0.61,0.43,1.74,-5.87,,,,,,,,,,
1.18,0.12,0.47,0.62,0.43,1.75,-5.89,,,,,,,,,,
1.17,0.11,0.46,0.62,0.43,1.75,-5.91,,,,,,,,,,
1.16,0.11,0.46,0.63,0.44,1.76,-5.92,,,,,,,,,,
1.15,0.11,0.45,0.64,0.44,1.77,-5.94,,,,,,,,,,
1.14,0.11,0.44,0.65,0.44,1.78,-5.95,1.64,1.51,25.14,24.51,25.24,25.85,1.01,5.07,80.05,88.6
1.13,0.11,0.44,0.65,0.44,1.79,-5.96,,,,,,,,,,
1.12,0.11,0.43,0.66,0.45,1.8,-5.97,,,,,,,,,,
1.11,0.11,0.42,0.67,0.45,1.81,-5.98,,,,,,,,,,
1.1,0.11,0.42,0.68,0.45,1.82,-5.99,,,,,,,,,,
1.09,0.1,0.41,0.68,0.46,1.83,-6.0,,,,,,,,,,
1.08,0.1,0.41,0.69,0.46,1.84,-6.0,,,,,,,,,,
1.07,0.1,0.4,0.7,0.46,1.85,-6.0,,,,,,,,,,
1.06,0.1,0.39,0.71,0.47,1.86,-6.01,,,,,,,,,,
1.05,0.1,0.39,0.72,0.47,1.87,-6.01,,,,,,,,,,
1.04,0.1,0.38,0.73,0.47,1.88,-6.01,1.54,1.5,,,,,,,,
1.03,0.1,0.38,0.73,0.48,1.89,-6.01,,,,,,,,,,
1.02,0.1,0.37,0.74,0.48,1.9,-6.01,,,,,,,,,,
1.01,0.1,0.36,0.75,0.49,1.91,-6.0,,,,,,,,,,
1.0,0.1,0.36,0.76,0.49,1.91,-6.0,,,,,,,,,,
0.99,0.1,0.35,0.77,0.49,1.92,-6.0,,,,,,,,,,
0.98,0.1,0.35,0.78,0.5,1.93,-5.99,,,,,,,,,,
0.97,0.1,0.34,0.78,0.5,1.94,-5.98,,,,,,,,,,
0.96,0.1,0.34,0.79,0.51,1.95,-5.97,,,,,,,,,,
0.95,0.1,0.33,0.8,0.51,1.96,-5.96,,,,,,,,,,
0.94,0.1,0.33,0.81,0.52,1.97,-5.95,1.44,1.5,,,,,,,,
0.93,0.1,0.32,0.82,0.52,1.98,-5.94,,,,,,,,,,
0.92,0.1,0.32,0.83,0.53,1.99,-5.92,,,,,,,,,,
0.91,0.1,0.31,0.84,0.53,1.99,-5.91,,,,,,,,,,
0.9,0.1,0.31,0.84,0.54,2.0,-5.89,,,,,,,,,,
0.89,0.11,0.31,0.85,0.54,2.01,-5.88,,,,,,,,,,
0.88,0.11,0.3,0.86,0.55,2.02,-5.86,,,,,,,,,,
0.87,0.11,0.3,0.87,0.55,2.03,-5.84,,,,,,,,,,
0.86,0.11,0.29,0.88,0.56,2.04,-5.82,,,,,,,,,,
0.85,0.11,0.29,0.89,0.56,2.05,-5.8,,,,,,,,,,
0.84,0.11,0.28,0.9,0.57,2.05,-5.77,1.34,1.51,,,,,,,,
0.83,0.11,0.28,0.91,0.57,2.06,-5.75,,,,,,,,,,
0.82,0.12,0.28,0.92,0.58,2.07,-5.72,,,,,,,,,,
0.81,0.12,0.27,0.93,0.58,2.08,-5.7,,,,,,,,,,
0.8,0.12,0.27,0.94,0.59,2.09,-5.67,,,,,,,,,,
0.79,0.12,0.26,0.95,0.6,2.1,-5.64,,,,,,,,,,
0.78,0.12,0.26,0.95,0.6,2.1,-5.61,,,,,,,,,,
0.77,0.13,0.26,0.96,0.61,2.11,-5.58,,,,,,,,,,
0.76,0.13,0.25,0.97,0.61,2.12,-5.55,,,,,,,,,,
0.75,0.13,0.25,0.98,0.62,2.13,-5.52,,,,,,,,,,
0.74,0.13,0.25,0.99,0.63,2.13,-5.48,1.24,1.53,,,,,,,,
0.73,0.14,0.25,1.0,0.63,2.14,-5.45,,,,,,,,,,
0.73,0.14,0.24,1.01,0.64,2.15,-5.41,,,,,,,,,,
0.72,0.14,0.24,1.02,0.65,2.16,-5.37,,,,,,,,,,
0.71,0.14,0.24,1.03,0.65,2.17,-5.34,,,,,,,,,,
0.7,0.15,0.23,1.04,0.66,2.17,-5.3,,,,,,,,,,
0.69,0.15,0.23,1.05,0.67,2.18,-5.26,,,,,,,,,,
0.68,0.15,0.23,1.06,0.67,2.19,-5.21,,,,,,,,,,
0.67,0.16,0.23,1.07,0.68,2.19,-5.17,,,,,,,,,,
0.66,0.16,0.22,1.08,0.69,2.2,-5.13,,,,,,,,,,
0.65,0.16,0.22,1.09,0.69,2.21,-5.08,1.15,1.56,,,,,,,,
0.64,0.17,0.22,1.1,0.7,2.22,-5.04,,,,,,,,,,
